year,odometer,manufacturer_id,fuel_id,transmission_id,type_id,age_car,price
2002,136678,0,2,0,4,23,192460.45785904597
2014,97348,7,3,0,2,11,271562.3824250296
2018,42947,7,1,1,2,7,301790.72834151116
2018,169197,7,1,0,5,7,293201.72450262285
2005,31486,3,3,0,5,20,233074.9847425526
2004,99665,4,3,0,3,21,229068.72937601458
2022,69726,3,0,0,3,3,301392.02048774087
2005,191112,3,3,0,1,20,205985.94969226312
2017,99757,7,3,0,4,8,291895.3118495985
2002,65252,5,2,1,0,23,224839.27904196773
2000,67360,1,3,0,0,25,205878.05492205563
2006,230159,7,1,0,1,19,220488.70465002643
2012,226993,7,2,1,1,13,242384.96432378938
2014,255313,6,2,1,3,11,250149.15296805484
2021,244331,5,3,0,3,4,280942.26540509827
2008,184416,2,1,1,3,17,226326.06826562277
2014,197331,4,1,0,3,11,249383.38164928657
2012,279813,3,1,0,0,13,227917.94064553632
2017,96503,5,1,1,0,8,292173.37023772113
2011,47549,2,0,0,4,14,258637.3269058482
2022,88517,7,1,0,4,3,318202.39788802556
2005,104806,6,1,0,3,20,234485.42964360415
2005,105477,4,3,1,2,20,221964.83603648198
2000,120511,0,3,0,0,25,191591.14422995588
2021,105952,6,3,1,3,4,301603.5181115035
2022,279779,1,1,1,0,3,263120.5455439787
2004,28986,4,1,0,5,21,235003.1298041459
2006,27336,7,0,0,3,19,255230.2279813015
2018,288037,6,0,1,4,7,266799.34397557325
2013,148117,7,3,0,3,12,260594.17234239916
2002,163132,4,0,0,0,23,205964.7413778582
2010,144242,3,2,1,1,15,245453.89501881695
2019,119930,5,0,1,2,6,288620.87404682284
2009,170469,4,2,1,4,16,234941.1620353398
2019,274385,6,2,0,0,6,262780.915829037
2016,204891,6,0,0,5,9,264435.2002707394
2006,198134,3,3,0,4,19,209231.59503671742
2002,289924,7,1,1,2,23,193496.97356311866
2008,288246,5,3,1,0,17,223600.12232697537
2019,175256,5,3,1,0,6,278017.3280048306
2005,48117,1,0,1,5,20,225242.06145086864
2014,218399,2,0,1,0,11,242248.53918459953
1999,249368,3,3,0,0,26,173225.9161173888
2022,135097,2,3,0,4,3,289443.8027338858
2019,110898,6,0,0,2,6,293593.6025436094
2022,278527,0,3,1,1,3,259997.88215122497
2022,191929,3,2,1,0,3,288269.5372564859
2006,213178,4,2,0,3,19,214474.45196003895
2006,137588,2,2,1,5,19,223281.83298143506
2002,147886,4,1,1,1,23,202802.47857922455
2006,75339,3,3,0,2,19,232703.41906881734
2015,263739,6,2,1,5,10,257075.80663276487
2010,283615,2,3,0,3,15,211673.91673466229
2022,131425,1,0,0,1,3,291813.4473435338
2008,218478,7,1,1,5,17,238107.25259401803
2003,128304,0,3,0,5,22,200170.74472598868
2004,47168,0,3,1,3,21,213407.2262307282
2010,23306,2,1,1,0,15,251138.60105297543
2000,229355,7,1,0,3,25,198759.3472819964
2002,254811,4,3,1,5,23,186424.73110167086
2010,69743,4,0,0,5,15,256612.8959271593
2002,61192,1,1,0,5,23,210565.8343259232
2008,140412,6,3,0,3,17,240631.78796202556
2014,273908,5,3,1,3,11,244461.82883402088
2001,80648,2,3,1,1,24,211539.2490571273
2017,42942,1,2,0,5,8,277064.4822295635
1999,28839,6,2,1,0,26,208018.77177684603
2014,169826,1,3,0,0,11,255030.88933934664
2000,105465,2,3,1,5,25,195057.60258218116
2012,287198,4,1,1,1,13,225681.28384758657
2013,72230,0,0,0,0,12,253800.88921021906
2002,199551,5,0,0,2,23,204689.89334447586
2019,91001,5,3,1,3,6,296095.19430697535
2006,161589,2,2,0,1,19,220587.64589742722
2016,138697,7,0,0,0,9,278927.968130047
2009,283654,4,2,1,5,16,223357.92447839223
2022,269174,6,3,1,3,3,284177.09316388477
2011,251563,3,2,1,1,14,230769.15282635056
2001,199170,0,3,1,4,24,168966.42449732093
2022,278890,1,3,0,1,3,282963.52355761564
2019,229323,2,1,1,0,6,263981.61527497636
2019,292387,5,2,1,5,6,259797.97179767076
1998,41145,4,3,0,3,27,200389.4534120622
2000,125448,3,3,1,0,25,190760.84953886585
2015,91679,1,1,0,0,10,269378.9997360171
2005,260234,7,0,0,5,20,212938.5992327498
2019,131801,6,1,1,1,6,300196.05645387445
2013,163216,2,3,0,3,12,246416.9470554719
2010,273460,6,0,0,2,15,230859.34986654745
2011,294191,7,2,1,2,14,233456.03618903997
2008,277697,3,3,0,3,17,208795.29982587154
2013,221852,7,2,1,4,12,256564.65280214633
2003,36716,4,2,1,0,22,226605.227206692
2002,30571,6,3,1,4,23,229895.6971558597
2008,44844,0,0,0,4,17,234740.49660873105
2017,199152,1,0,1,3,8,261894.80854068435
2008,288897,3,3,0,2,17,207189.71939358665
2015,118573,0,3,1,2,10,253524.50045972873
2006,290956,6,3,0,0,19,206743.7800052138
2003,232604,1,2,0,5,22,184220.10754251407
2004,85772,3,0,0,1,21,231381.69702390858
2010,255574,1,2,1,5,15,213935.60500573856
2021,114130,1,2,0,2,4,278320.0326562343
2009,93984,0,1,0,1,16,228886.52778605447
2014,21675,2,3,1,2,11,286054.6504414319
2008,105426,1,2,0,2,17,224890.50670294883
2012,218422,6,1,1,5,13,239478.29634986192
2010,103664,1,2,0,5,15,241685.02449283557
1999,96211,7,1,0,2,26,201894.251122866
2005,211469,5,0,1,2,20,208049.28345170993
2005,35671,0,0,0,3,20,219736.47799961126
2008,23739,6,1,1,1,17,256781.12112638916
2001,193232,3,2,1,1,24,193536.33767250567
2000,21511,3,2,1,3,25,208751.05513815218
2009,275211,4,3,1,0,16,215167.85136433344
2008,110509,6,0,0,0,17,248837.7365623727
2019,49051,5,0,1,0,6,301176.2855053354
2020,115786,1,1,1,2,5,290632.2498054247
2011,164146,2,2,0,0,14,249927.4122663961
2014,41737,4,1,0,3,11,280868.71582738415
2009,267438,2,2,0,1,16,223590.63089361184
2010,111356,5,0,0,4,15,255966.490058016
2003,154877,5,3,0,2,22,209710.87425102753
2017,285403,6,3,0,2,8,273657.43675035547
2009,217050,1,2,1,5,16,225704.51615677847
1998,131288,6,1,1,3,27,197962.79885826437
2016,177393,7,1,0,5,9,284032.5309008033
2003,149496,0,3,0,5,22,198270.97007771797
2008,126108,6,3,1,0,17,245813.89507864622
2014,123673,0,2,1,0,11,257627.99842722205
2015,269621,1,3,0,5,10,236083.06933914343
2012,145154,1,3,0,0,13,244044.18077010295
2016,53541,7,2,1,1,9,288761.2511131151
2011,242350,5,2,1,1,14,237598.7058618126
1999,182078,5,2,0,0,26,196262.07199113024
2008,47020,1,0,0,5,17,240141.20793231676
2014,231019,2,2,0,1,11,246916.19073323454
2010,170214,4,1,0,0,15,237534.52739029052
2018,114667,1,0,0,4,7,281372.04002043157
2010,20091,5,1,0,1,15,258550.8748309604
2009,131494,2,2,1,4,16,235598.39533107472
2018,242065,6,1,1,3,7,263371.2682733403
2000,200433,3,3,0,5,25,183536.96184453162
2021,163063,5,0,1,4,4,291188.72480014805
2020,89874,2,1,0,1,5,288409.0369990851
2016,274432,5,3,0,1,9,259758.61880642967
2019,189652,4,3,0,0,6,277639.3677633011
2001,55420,4,1,1,5,24,211018.0589354913
2006,78579,5,0,1,0,19,247888.4790651792
2001,269099,4,3,1,3,24,177758.4834697884
2020,210623,2,0,1,0,5,273510.0660519755
2013,191773,5,0,0,4,12,248958.3931713774
2022,43611,2,1,0,2,3,294206.23582338716
2006,92476,7,2,0,4,19,248449.6928627233
2020,108516,1,2,0,1,5,290494.8943274772
2017,54752,5,0,1,2,8,293437.2960747534
2009,221590,6,1,1,1,16,230321.0758048491
2001,184808,1,0,1,0,24,186191.55627917792
2005,160196,3,2,0,5,20,207716.79568524536
2000,179482,3,0,0,4,25,190170.9678151977
2001,226948,0,2,0,0,24,175731.93261425645
2020,175335,2,1,1,4,5,281132.42619346175
2014,33905,1,1,0,4,11,263201.89652403997
2012,199818,0,0,0,0,13,232333.29377673395
2000,36130,1,2,1,1,25,196748.9371931752
2012,157709,5,3,1,4,13,252468.11585011854
2007,36808,7,0,0,5,18,254275.2335018015
2014,134497,6,0,1,3,11,264744.90203678946
2001,254981,2,2,1,3,24,182775.93956915033
2013,88585,0,2,0,4,12,245538.56455339974
2022,269941,2,0,1,2,3,273825.7678337722
1999,54899,6,3,1,3,26,209207.1287996755
2007,140714,4,3,1,5,18,229210.7597077233
2014,209899,7,3,0,2,11,254646.4321368087
2007,213342,4,0,1,4,18,222945.23323619584
2003,74798,4,3,0,3,22,225946.4132926854
2001,167966,3,3,0,5,24,199250.3480936889
2021,273416,0,3,1,0,4,258794.35399740364
2000,204483,7,2,1,1,25,193259.77596845813
2020,264022,4,0,0,4,5,278553.59419785766
1999,63668,3,1,1,3,26,198765.10616689906
2002,226245,6,2,1,5,23,202162.82255611065
2012,78977,1,1,1,5,13,250099.91952807285
2012,246088,5,1,1,0,13,239397.7974525556
2015,46211,6,1,0,5,10,285877.044449729
1999,167492,3,3,0,1,26,182384.4397793137
2017,267728,2,2,0,3,8,254341.09201577448
2010,151955,5,3,1,0,15,245009.79741073717
2017,273037,5,3,0,0,8,261021.09994924898
2004,140652,0,3,1,2,21,217231.54031032574
2010,102879,5,2,0,4,15,254407.43456476013
2017,295998,4,2,0,2,8,255304.63135122406
2007,148581,2,1,0,2,18,222972.32273351835
2012,86135,6,3,0,3,13,268660.70327571203
2012,202391,0,3,1,3,13,216310.82283252224
2020,242192,1,0,0,5,5,257944.24654609058
1999,177270,7,1,1,2,26,208327.1260573894
2013,122724,6,0,1,5,12,269118.46267003566
2014,217308,0,1,1,4,11,242385.57994832422
2015,151971,5,0,1,4,10,271840.01099484594
2008,163942,3,1,1,4,17,226413.50806460364
2012,56711,7,2,1,5,13,270922.7666374252
2017,205024,1,1,0,2,8,257611.2915112359
2013,208194,0,0,1,2,12,234553.55459420235
2010,258109,2,1,1,4,15,210301.6694412178
2004,195858,0,3,0,0,21,188800.4093312224
2001,74859,7,2,1,5,24,221759.04737539883
2012,149123,5,3,0,5,13,248967.97332737307
1999,151949,3,0,1,3,26,184870.69655781565
2004,156920,7,1,1,5,21,224135.34002794337
2009,143617,1,3,1,4,16,236166.3284840942
2020,174015,2,0,1,4,5,277367.49367988884
1999,131405,3,3,0,4,26,187366.06743744723
2021,276620,4,0,1,0,4,268609.6387958148
1998,273192,2,3,1,2,27,159783.66444735997
2018,237338,5,3,1,1,7,268156.08706202783
2005,242414,7,1,0,2,20,209277.28718842918
2017,51127,5,2,0,2,8,287076.39741977764
2012,72025,5,0,1,2,13,264099.4027991293
2014,273005,4,1,0,4,11,240706.05867679298
2004,207553,7,2,1,2,21,219205.5527525795
2008,104663,4,0,0,2,17,249545.55460765923
2014,38608,7,1,1,3,11,285322.600792722
2002,27597,6,0,1,0,23,243438.7600386514
2005,273316,5,0,0,0,20,207244.30939977142
2018,188706,6,0,0,2,7,284114.37752055924
2017,227803,4,0,0,4,8,268709.23296678765
1999,283169,7,0,0,4,26,181670.87032143053
2011,246807,6,0,1,4,14,239460.8428317976
2019,268748,2,1,0,5,6,255917.16536551664
2005,31105,5,1,0,3,20,237475.68980064633
2013,289240,5,1,1,3,12,234711.66973736483
2010,56237,3,0,0,4,15,250637.33509816436
2002,147836,2,3,0,2,23,194813.33235814332
2004,197387,2,2,1,0,21,210590.9935045662
2002,263131,5,2,0,4,23,185097.34344497332
2012,297049,6,1,0,1,13,228993.91164249662
2016,189243,6,3,0,4,9,263746.28128881333
2013,198727,5,1,1,4,12,242523.5173261693
2005,286107,3,1,1,0,20,192878.3439967089
2012,295148,6,0,1,4,13,231967.05411211614
2012,95364,1,3,0,3,13,256873.92204732713
2015,206697,6,2,0,5,10,254128.01383275635
2001,224729,2,3,1,5,24,179348.99322685544
2016,285614,7,0,0,1,9,248703.08578009342
2019,189905,3,2,1,1,6,273953.2182161808
2018,124021,2,2,1,3,7,276806.6524582986
1999,220297,3,3,1,1,26,181720.18117072497
1998,72423,0,0,1,5,27,184253.4326644849
2020,62446,3,1,1,1,5,306370.83841045434
2014,157379,4,3,1,0,11,259512.4128774833
2002,294295,7,3,0,0,23,186632.24737301376
2001,165769,7,2,0,5,24,206136.51418008114
2013,198964,7,3,1,0,12,249185.63583516257
2018,195556,5,0,0,3,7,278042.1956799121
2001,197882,1,2,0,2,24,183193.88897915042
2009,285312,0,0,1,5,16,205891.77888196128
2005,58927,3,2,1,4,20,230934.85380736893
2019,178284,1,2,0,3,6,269490.0393605421
2010,97877,6,3,0,3,15,255517.9072209484
2016,146211,7,1,1,1,9,279887.0437219472
2010,249767,2,3,0,1,15,223275.84894646023
2021,70910,3,0,1,2,4,297770.38310126617
2018,239996,2,0,0,4,7,263620.69538689806
2000,296941,1,3,1,3,25,166979.66710107986
2002,46655,4,3,0,0,23,228021.86929271283
1999,219397,2,3,1,5,26,166026.53082620236
2014,114930,2,3,1,1,11,259844.54738782035
2007,295628,4,1,0,2,18,216848.31910616747
2004,149161,6,2,1,4,21,225138.63491283712
2000,102580,3,3,1,5,25,206659.327478121
2005,223386,4,3,1,4,20,207877.2849153805
2014,26634,5,2,0,1,11,281920.3224171327
2013,142770,2,2,1,3,12,258365.25927073814
2013,59543,1,1,0,0,12,261146.27524357865
1998,130143,3,2,0,3,27,181830.8653115814
1999,123562,7,0,1,3,26,199908.54263018677
2007,67729,6,3,0,0,18,248428.9967382436
2008,102501,4,2,0,3,17,239933.21443056897
2006,293262,4,1,0,5,19,196823.46747056823
2022,276502,1,3,1,3,3,269808.1076306071
2012,31010,7,0,1,0,13,267996.0337396237
2020,265175,1,0,1,2,5,259100.66321700436
1999,63932,3,3,1,0,26,206593.8135504105
2009,62886,5,0,0,3,16,255257.48878402333
1999,264215,3,0,0,0,26,170249.51598258116
2001,134152,0,1,1,2,24,199958.3416932283
2018,243814,5,0,1,2,7,264447.7433707296
2009,101965,7,3,1,4,16,253964.8204099009
2015,85979,2,1,0,2,10,271067.4811176699
2010,38865,6,0,1,2,15,265931.9175257364
2018,263139,2,1,1,1,7,255909.82565717847
2015,187720,3,3,0,0,10,255290.54243529605
1999,205613,3,0,0,2,26,174568.22876632094
2013,136786,7,3,0,5,12,269474.57503169903
2009,184172,6,0,0,1,16,242425.53277665144
2022,115888,5,3,1,4,3,297061.0910537301
2015,195322,1,0,1,5,10,247110.75786633792
2001,162289,6,3,0,3,24,210237.13319752814
2020,44714,7,3,1,0,5,313956.83637651074
2002,20298,1,0,1,2,23,209322.76194692962
2019,272571,3,0,1,5,6,260393.65696285715
2014,119056,7,3,1,5,11,271180.4698537924
2019,189491,4,0,1,5,6,278109.69727083325
2002,122085,2,1,0,4,23,201758.14506817207
2002,45189,5,3,0,2,23,227818.8472720997
2010,201361,2,3,1,5,15,230056.86460237027
2019,94237,6,0,0,0,6,295103.083942515
2021,170535,7,3,0,0,4,303933.987807816
2000,107659,7,0,1,0,25,221236.40884334664
2004,191070,4,1,0,5,21,203410.84222604716
2015,92033,3,0,0,1,10,267256.7662936358
2013,50205,6,0,0,5,12,275533.9950515447
2004,243282,1,2,1,5,21,188321.07222108915
2004,180170,7,0,1,0,21,219899.66255960145
2021,132973,7,2,0,2,4,297910.80009492073
2015,96874,0,0,1,3,10,254826.8537434023
2012,153327,4,0,1,0,13,239498.31418328432
2008,262839,0,2,0,5,17,198490.65015942618
2020,223774,2,3,0,3,5,269933.8386699744
2007,193369,3,0,0,5,18,223297.3112591893
1998,241940,0,1,1,4,27,163358.40908624989
2018,265899,5,3,1,2,7,263457.3750988375
2009,178790,3,0,0,2,16,223884.12109488732
2012,223990,1,3,0,1,13,227520.05858124638
2012,98824,4,3,0,0,13,271125.03593292524
2009,38601,5,3,1,2,16,255420.93596098226
2020,41423,4,3,1,4,5,313252.16888764553
2022,278501,7,1,0,2,3,281136.2438890772
2001,273373,6,3,1,2,24,186139.55225512158
2012,156608,6,1,0,2,13,263344.63903479977
2006,172499,7,1,1,4,19,231175.70442462392
2002,299363,3,2,1,2,23,175350.4607179922
2020,158775,7,1,0,0,5,291942.44315520464
2021,146518,3,3,0,3,4,284656.4391220153
2011,139915,2,1,1,2,14,233793.5988152758
1999,259672,6,0,0,4,26,187047.55286839762
2006,141960,1,2,0,1,19,225041.11677457983
2020,235258,5,3,1,5,5,278958.33515706944
2018,89643,0,3,1,0,7,274878.0091630286
1999,65074,7,0,0,4,26,210944.7567965037
2020,118368,7,3,1,1,5,298112.0773112119
2009,69934,6,0,1,1,16,252585.21644395075
2011,168355,3,0,0,4,14,238867.34614678464
2010,33206,2,1,1,5,15,262420.7847347551
2016,222638,1,2,0,5,9,251094.46951448938
2006,23050,5,2,0,3,19,240538.58088186206
2014,79739,3,1,0,5,11,263488.89650463854
2011,162681,7,0,0,4,14,259420.2898227112
2022,65554,6,1,1,3,3,303590.6492051793
2009,204245,0,2,1,3,16,216024.64135240277
2019,196646,7,1,0,5,6,281316.4173973007
2000,117842,0,1,0,4,25,196406.27341639897
2018,202011,3,1,0,3,7,273614.43604712526
2014,185397,3,1,1,0,11,247892.77471525315
2016,183398,2,2,1,2,9,263180.9107596052
2002,202584,1,2,0,0,23,186461.1976158778
2021,86560,0,0,1,5,4,285750.3134143292
2022,113861,4,2,0,4,3,299998.3431936604
2018,216782,4,1,0,1,7,265702.15400021954
2015,83406,6,3,1,0,10,276823.0066201459
2014,251366,7,1,1,5,11,257973.94893659218
2004,80710,2,1,1,3,21,216543.2473134334
2009,272643,4,1,0,0,16,217505.96894020255
2019,298032,4,0,1,2,6,259583.47161641822
2011,121764,4,0,1,3,14,252315.4400040532
2004,169005,2,3,0,3,21,204859.52626309686
2014,263579,3,1,0,2,11,244284.21667059834
2004,168479,0,0,1,2,21,204182.32578489638
2019,188273,4,2,0,3,6,278801.2442484653
2020,74862,5,1,0,2,5,304663.85419640545
2021,239849,3,0,0,1,4,272853.7016202426
2006,210083,2,1,1,2,19,203980.92503547086
2002,23759,2,0,0,3,23,222277.0203374213
2013,120669,6,0,1,1,12,264633.65009336045
2018,254252,0,0,0,4,7,257920.12159821167
2004,142246,1,2,1,0,21,204487.18244954615
2004,184798,2,1,1,4,21,209755.58227230632
2014,190331,3,0,1,4,11,250923.15798137733
2002,288219,7,3,0,0,23,198158.491546597
2014,185766,5,1,0,5,11,242831.89287681482
2020,44600,7,2,1,0,5,310409.05323171214
2015,53850,5,1,1,5,10,287739.12061386934
1999,230961,7,3,0,0,26,195684.88434062252
2015,33367,1,0,0,1,10,267440.3366267536
2018,178185,5,3,0,3,7,283708.5763405595
2000,142012,5,0,0,4,25,205208.90459546016
2013,215639,0,2,1,2,12,238198.11183555616
2014,177873,2,0,1,2,11,251098.5655887694
2008,143216,1,2,0,1,17,228693.30368668243
2005,64814,3,1,0,2,20,234975.22302479856
2014,272509,6,1,0,5,11,244145.40845120762
2006,107120,1,0,0,0,19,217842.93495930659
2006,140210,0,2,0,1,19,217784.25861420573
2002,20315,6,0,1,1,23,227791.6520027845
2016,191518,3,3,1,2,9,255665.84362479672
2002,185961,0,0,0,3,23,180752.32368939213
2005,299163,5,0,1,5,20,201751.41545705445
2022,23701,5,1,1,0,3,318294.68381275644
2008,82244,0,1,0,0,17,230511.54702258404
2017,63305,1,2,1,4,8,285134.16912417393
2009,46653,7,1,1,0,16,264609.36804873176
2000,258905,2,1,1,1,25,172471.57887561255
2016,225497,1,2,0,0,9,244374.26384342293
2015,127533,7,0,1,4,10,269330.56091187365
2019,71674,4,3,1,2,6,294233.1733057477
1999,88951,4,3,0,4,26,200215.5197194185
2021,117759,7,2,1,5,4,293056.8423791673
2000,92513,3,3,0,2,25,202660.2116454439
1998,242424,0,1,0,0,27,152991.45775004645
2019,99081,5,2,0,2,6,292165.2889781854
2010,152516,4,2,1,0,15,248755.80391143585
2004,278257,6,3,0,1,21,202875.26938496192
2009,271051,4,3,1,0,16,215642.02929300492
2004,270108,4,1,0,0,21,197941.6070483026
2020,82157,4,2,1,0,5,305332.62977558776
2003,237005,5,0,1,3,22,199337.02241926818
2006,93268,2,2,0,4,19,223719.60215887346
2006,107941,5,1,0,3,19,226510.75610601937
2014,272906,0,1,1,2,11,230262.76358847148
2018,93729,3,2,0,4,7,279801.1734660277
2005,248605,3,0,0,4,20,206682.62755882894
2011,124451,3,2,0,0,14,239449.57704602001
2006,265715,2,3,1,5,19,194625.43175725415
2010,180508,7,3,0,0,15,249335.1334675879
2010,158906,2,0,1,2,15,237424.1440562322
2014,87007,1,0,1,1,11,254295.91713926822
1999,58122,0,0,0,5,26,198476.28821159698
2000,176180,1,2,1,4,25,175327.99599114465
2018,286566,2,2,0,5,7,251025.50520181988
2002,292766,1,1,1,2,23,182549.31410478437
2005,245260,0,3,0,2,20,201499.7063768325
2011,55368,1,3,0,0,14,251301.2166267168
2005,60906,1,2,1,4,20,229636.83476894957
2008,70818,6,1,0,5,17,253615.56522923146
1998,78548,7,1,0,1,27,211768.16501428856
2020,86236,2,0,0,4,5,285993.2969630664
2022,175005,1,0,0,2,3,296366.2998846758
2003,25586,4,3,0,3,22,223475.55471547757
2002,252652,6,2,0,2,23,198093.1231482025
2007,80114,4,0,0,0,18,237646.1294941132
2003,235121,5,1,0,1,22,202690.25708397
2005,293842,3,1,1,4,20,199966.0745341349
2004,160940,6,3,1,5,21,220014.98152578104
2016,142672,5,3,1,1,9,279098.57516341115
2009,149885,7,3,0,4,16,242726.42754809072
2003,36115,5,3,1,0,22,233299.0286762955
2001,214173,3,2,0,4,24,181609.64360769064
2002,252399,5,3,1,3,23,190992.36674338795
2002,98869,0,1,1,0,23,198702.94649740486
2018,151926,1,0,1,3,7,259034.8624057069
2022,231531,2,3,1,3,3,283223.6232588517
2017,129229,2,2,0,5,8,272742.7553381296
2008,165707,3,3,0,5,17,227591.39337665745
2017,288347,1,3,0,5,8,241362.21579574829
1999,191880,5,3,1,2,26,192739.78553928641
2006,86756,3,3,0,3,19,219612.4442804293
2000,154870,7,2,1,1,25,204370.8405897421
2009,54257,3,0,1,1,16,243881.8283900321
2014,278114,1,2,0,0,11,235831.46493935017
1999,294424,0,3,0,0,26,155846.34430485728
2021,39175,4,2,1,2,4,309088.81250875717
2010,177260,0,1,0,2,15,227971.62058864054
2008,89637,1,0,0,2,17,235138.75489066867
2001,28437,7,3,0,2,24,218619.6907039643
2012,214187,2,0,1,2,13,233695.55727524817
2015,186474,0,2,1,0,10,249945.7955772695
2011,191135,5,2,1,2,14,236701.4751959595
2006,57202,0,0,1,2,19,224193.2189695834
1998,108474,5,0,1,3,27,198907.91581346767
2007,222499,5,1,1,3,18,222601.48838557999
2011,129916,3,0,0,2,14,251224.72025066885
2001,126946,0,3,0,3,24,201679.6170463437
2001,237564,6,0,0,1,24,190777.96841921748
1998,24292,2,1,0,2,27,206339.06609291027
2019,242786,6,0,0,5,6,270433.3976108359
2009,118655,5,1,1,3,16,249736.62655887156
2001,161008,0,3,0,1,24,196717.85397284088
